#Trabalho Fisica Aplicada a Computação - Mestre Nuno

#Gerador de Seno - 1º Ano - FAC 2018-19

#	 T	 	 Media	 MMM	 Tmin	 T0	 T1	 Tmax	 t
	 13.06	 40.46	 0.00	 -40	 10	 80	 120	 109.37
	 13.16	 41.00	 0.00	 -40	 10	 80	 120	 122.80
	 13.27	 41.64	 0.00	 -40	 10	 80	 120	 118.96
	 13.37	 42.24	 0.00	 -40	 10	 80	 120	 110.77
	 13.47	 42.77	 0.00	 -40	 10	 80	 120	 112.30
	 13.57	 43.30	 0.00	 -40	 10	 80	 120	 111.86
	 13.68	 43.82	 0.00	 -40	 10	 80	 120	 101.77
	 13.78	 44.25	 0.00	 -40	 10	 80	 120	 76.36
	 13.88	 44.49	 0.00	 -40	 10	 80	 120	 62.43
	 13.98	 44.63	 0.00	 -40	 10	 80	 120	 48.33
	 14.09	 44.65	 0.00	 -40	 10	 80	 120	 27.04
	 14.19	 44.52	 0.00	 -40	 10	 80	 120	 6.08
	 14.29	 44.25	 0.00	 -40	 10	 80	 120	 5.97
	 14.39	 43.97	 0.00	 -40	 10	 80	 120	 -18.37
	 14.49	 43.53	 0.00	 -40	 10	 80	 120	 -17.63
	 14.60	 43.09	 0.00	 -40	 10	 80	 120	 -36.14
	 14.70	 42.53	 0.00	 -40	 10	 80	 120	 -32.61
	 14.80	 42.01	 0.00	 -40	 10	 80	 120	 -48.94
	 14.90	 41.38	 0.00	 -40	 10	 80	 120	 -39.92
	 15.01	 40.82	 0.00	 -40	 10	 80	 120	 -42.56
	 15.11	 40.25	 0.00	 -40	 10	 80	 120	 -37.14
	 15.21	 39.72	 0.00	 -40	 10	 80	 120	 -13.94
	 15.31	 39.36	 0.00	 -40	 10	 80	 120	 -7.24
	 15.42	 39.04	 0.00	 -40	 10	 80	 120	 10.18
	 15.52	 38.85	 0.00	 -40	 10	 80	 120	 25.00
	 15.62	 38.76	 0.00	 -40	 10	 80	 120	 47.25
	 15.72	 38.82	 0.00	 -40	 10	 80	 120	 58.40
	 15.82	 38.94	 0.00	 -40	 10	 80	 120	 69.94
	 15.93	 39.14	 0.00	 -40	 10	 80	 120	 87.91
	 16.03	 39.46	 0.00	 -40	 10	 80	 120	 106.00
	 16.13	 39.89	 0.00	 -40	 10	 80	 120	 106.48
	 16.23	 40.31	 0.00	 -40	 10	 80	 120	 108.07
	 16.34	 40.74	 0.00	 -40	 10	 80	 120	 128.53
	 16.44	 41.29	 0.00	 -40	 10	 80	 120	 112.64
	 16.54	 41.74	 0.00	 -40	 10	 80	 120	 122.40
	 16.64	 42.24	 0.00	 -40	 10	 80	 120	 105.00
	 16.75	 42.62	 0.00	 -40	 10	 80	 120	 108.71
	 16.85	 43.03	 0.00	 -40	 10	 80	 120	 96.77
	 16.95	 43.36	 0.00	 -40	 10	 80	 120	 83.05
	 17.05	 43.60	 0.00	 -40	 10	 80	 120	 55.60
	 17.15	 43.67	 0.00	 -40	 10	 80	 120	 43.48
	 17.26	 43.67	 0.00	 -40	 10	 80	 120	 31.22
