#Trabalho Fisica Aplicada a Computação - Mestre Nuno

#Gerador de Seno - 1º Ano - FAC 2018-19

#	t	Tmin	T0	T1	Tmax	T	Media	MMM	MMS
	 -40	 10	 80	 120	 76.43
	 11.67	 0.00	 -14.71	 0.00	 -40	 10	 80	 120	 -33.98
	 11.77	 0.00	 -33.52	 0.00	 -40	 10	 80	 120	 -34.68
	 11.87	 0.00	 -33.52	 0.00	 -40	 10	 80	 120	 -38.05
	 11.98	 0.00	 -33.52	 0.00	 -40	 10	 80	 120	 -21.29
	 12.08	 0.00	 -31.34	 0.00	 -40	 10	 80	 120	 -7.85
	 12.18	 0.00	 -31.34	 0.00	 -40	 10	 80	 120	 -2.09
	 12.28	 0.00	 -31.34	 0.00	 -40	 10	 80	 120	 3.61
	 12.39	 0.00	 -2.11	 0.00	 -40	 10	 80	 120	 33.51
	 12.49	 0.00	 -2.11	 0.00	 -40	 10	 80	 120	 36.94
	 12.59	 0.00	 -2.11	 0.00	 -40	 10	 80	 120	 61.04
	 12.69	 0.00	 43.83	 0.00	 -40	 10	 80	 120	 72.32
	 12.80	 0.00	 43.83	 0.00	 -40	 10	 80	 120	 91.26
	 12.90	 0.00	 43.83	 0.00	 -40	 10	 80	 120	 96.11
	 13.00	 0.00	 86.56	 0.00	 -40	 10	 80	 120	 103.38
	 13.10	 0.00	 86.56	 0.00	 -40	 10	 80	 120	 121.62
	 13.21	 0.00	 86.56	 0.00	 -40	 10	 80	 120	 123.69
	 13.31	 0.00	 116.23	 0.00	 -40	 10	 80	 120	 112.42
	 13.41	 0.00	 116.23	 0.00	 -40	 10	 80	 120	 107.83
	 13.51	 0.00	 116.23	 0.00	 -40	 10	 80	 120	 100.01
	 13.62	 0.00	 106.75	 0.00	 -40	 10	 80	 120	 92.27
	 13.72	 0.00	 106.75	 0.00	 -40	 10	 80	 120	 80.15
	 13.82	 0.00	 106.75	 0.00	 -40	 10	 80	 120	 62.94
	 13.93	 0.00	 78.45	 0.00	 -40	 10	 80	 120	 58.33
	 14.03	 0.00	 78.45	 0.00	 -40	 10	 80	 120	 39.99
	 14.13	 0.00	 78.45	 0.00	 -40	 10	 80	 120	 14.76
	 14.23	 0.00	 37.69	 0.00	 -40	 10	 80	 120	 3.02
	 14.34	 0.00	 37.69	 0.00	 -40	 10	 80	 120	 -5.28
	 14.44	 0.00	 37.69	 0.00	 -40	 10	 80	 120	 -27.81
	 14.54	 0.00	 -10.03	 0.00	 -40	 10	 80	 120	 -37.90
	 14.64	 0.00	 -10.03	 0.00	 -40	 10	 80	 120	 -45.06
	 14.75	 0.00	 -10.03	 0.00	 -40	 10	 80	 120	 -44.14
	 14.85	 0.00	 -42.37	 0.00	 -40	 10	 80	 120	 -34.86
	 14.95	 0.00	 -42.37	 0.00	 -40	 10	 80	 120	 -32.25
	 15.05	 0.00	 -42.37	 0.00	 -40	 10	 80	 120	 -31.37
	 15.16	 0.00	 -32.83	 0.00	 -40	 10	 80	 120	 -16.56
	 15.26	 0.00	 -32.83	 0.00	 -40	 10	 80	 120	 -15.92
	 15.36	 0.00	 -32.83	 0.00	 -40	 10	 80	 120	 -3.36
	 15.47	 0.00	 -11.95	 0.00	 -40	 10	 80	 120	 16.74
	 15.57	 0.00	 -11.95	 0.00	 -40	 10	 80	 120	 28.93
	 15.67	 0.00	 -11.95	 0.00	 -40	 10	 80	 120	 47.22
	 15.77	 0.00	 30.96	 0.00	 -40	 10	 80	 120	 62.38
	 15.88	 0.00	 30.96	 0.00	 -40	 10	 80	 120	 78.14
	 15.98	 0.00	 30.96	 0.00	 -40	 10	 80	 120	 87.18
	 16.08	 0.00	 75.90	 0.00	 -40	 10	 80	 120	 113.08
	 16.18	 0.00	 75.90	 0.00	 -40	 10	 80	 120	 119.22
	 16.29	 0.00	 75.90	 0.00	 -40	 10	 80	 120	 126.26
	 16.39	 0.00	 119.52	 0.00	 -40	 10	 80	 120	 110.00
	 16.49	 0.00	 119.52	 0.00	 -40	 10	 80	 120	 123.38
	 16.59	 0.00	 119.52	 0.00	 -40	 10	 80	 120	 115.46
	 16.70	 0.00	 116.28	 0.00	 -40	 10	 80	 120	 110.51
	 16.80	 0.00	 116.28	 0.00	 -40	 10	 80	 120	 90.74
	 16.90	 0.00	 116.28	 0.00	 -40	 10	 80	 120	 87.65
	 17.00	 0.00	 96.30	 0.00	 -40	 10	 80	 120	 67.94
	 17.11	 0.00	 96.30	 0.00	 -40	 10	 80	 120	 56.97
	 17.21	 0.00	 96.30	 0.00	 -40	 10	 80	 120	 42.69
	 17.31	 0.00	 55.87	 0.00	 -40	 10	 80	 120	 24.32
	 17.42	 0.00	 55.87	 0.00	 -40	 10	 80	 120	 9.17
	 17.52	 0.00	 55.87	 0.00	 -40	 10	 80	 120	 -20.46
	 17.62	 0.00	 4.34	 0.00	 -40	 10	 80	 120	 -26.09
	 17.72	 0.00	 4.34	 0.00	 -40	 10	 80	 120	 -34.02
	 17.82	 0.00	 4.34	 0.00	 -40	 10	 80	 120	 -40.09
	 17.93	 0.00	 -33.40	 0.00	 -40	 10	 80	 120	 -36.82
	 18.03	 0.00	 -33.40	 0.00	 -40	 10	 80	 120	 -49.22
	 18.13	 0.00	 -33.40	 0.00	 -40	 10	 80	 120	 -45.32
	 18.24	 0.00	 -43.79	 0.00	 -40	 10	 80	 120	 -31.22
	 18.34	 0.00	 -43.79	 0.00	 -40	 10	 80	 120	 -10.22
	 18.44	 0.00	 -43.79	 0.00	 -40	 10	 80	 120	 -10.90
	 18.54	 0.00	 -17.45	 0.00	 -40	 10	 80	 120	 15.47
	 18.65	 0.00	 -17.45	 0.00	 -40	 10	 80	 120	 16.18
	 18.75	 0.00	 -17.45	 0.00	 -40	 10	 80	 120	 38.39
	 18.85	 0.00	 23.35	 0.00	 -40	 10	 80	 120	 65.75
	 18.95	 0.00	 23.35	 0.00	 -40	 10	 80	 120	 77.25
	 19.06	 0.00	 23.35	 0.00	 -40	 10	 80	 120	 89.67
	 19.16	 0.00	 77.55	 0.00	 -40	 10	 80	 120	 106.87
	 19.26	 0.00	 77.55	 0.00	 -40	 10	 80	 120	 115.62
	 19.36	 0.00	 77.55	 0.00	 -40	 10	 80	 120	 113.58
	 19.47	 0.00	 112.02	 0.00	 -40	 10	 80	 120	 120.35
	 19.57	 0.00	 112.02	 0.00	 -40	 10	 80	 120	 121.76
	 19.67	 0.00	 112.02	 0.00	 -40	 10	 80	 120	 122.84
	 19.78	 0.00	 121.65	 0.00	 -40	 10	 80	 120	 117.66
	 19.88	 0.00	 121.65	 0.00	 -40	 10	 80	 120	 109.49
	 19.98	 0.00	 121.65	 0.00	 -40	 10	 80	 120	 81.85
	 20.08	 0.00	 103.00	 0.00	 -40	 10	 80	 120	 68.85
	 20.19	 0.00	 103.00	 0.00	 -40	 10	 80	 120	 51.62
	 20.29	 0.00	 103.00	 0.00	 -40	 10	 80	 120	 46.53
	 20.39	 0.00	 55.67	 0.00	 -40	 10	 80	 120	 29.10
	 20.50	 0.00	 55.67	 0.00	 -40	 10	 80	 120	 8.17
	 20.60	 0.00	 55.67	 0.00	 -40	 10	 80	 120	 0.42
	 20.70	 0.00	 12.56	 0.00	 -40	 10	 80	 120	 -20.42
