#Trabalho Fisica Aplicada a Computação - Mestre Nuno#Sensores BMP280 - 1º Ano - FAC 2018-19
#Suavização T(ºC)   Suavização P(Pa)    T(ºC)    P(Pa)    Media T(ºC)    Media P(Pa)

27.75		 99388.01		 27.75		 99387.00		 27.75		 99389.67
27.75		 99387.31		 27.75		 99387.00		 27.75		 99389.67
27.76		 99387.10		 27.76		 99387.00		 27.75		 99387.00
27.76		 99387.03		 27.76		 99387.00		 27.75		 99387.00
27.76		 99387.01		 27.76		 99387.00		 27.75		 99387.00
27.75		 99387.00		 27.75		 99387.00		 27.76		 99387.00
27.75		 99387.00		 27.75		 99387.00		 27.76		 99387.00
27.75		 99386.30		 27.75		 99386.00		 27.76		 99387.00
27.75		 99386.79		 27.75		 99387.00		 27.75		 99386.67
27.75		 99386.94		 27.75		 99387.00		 27.75		 99386.67
27.75		 99386.99		 27.75		 99387.00		 27.75		 99386.67
27.75		 99385.60		 27.75		 99385.00		 27.75		 99386.34
27.75		 99385.18		 27.75		 99385.00		 27.75		 99386.34
27.76		 99387.16		 27.76		 99388.00		 27.75		 99386.34
27.76		 99387.05		 27.76		 99387.00		 27.76		 99386.67
27.76		 99387.02		 27.76		 99387.00		 27.76		 99386.67
27.76		 99388.41		 27.75		 99389.00		 27.76		 99386.67
27.76		 99388.82		 27.75		 99389.00		 27.76		 99388.34
27.75		 99388.25		 27.75		 99388.00		 27.76		 99388.34
27.75		 99388.08		 27.75		 99388.00		 27.76		 99388.34
27.75		 99388.03		 27.75		 99388.00		 27.75		 99388.00
27.76		 99388.01		 27.76		 99388.00		 27.75		 99388.00
27.76		 99388.00		 27.76		 99388.00		 27.75		 99388.00
27.76		 99388.00		 27.76		 99388.00		 27.76		 99388.00
27.76		 99388.71		 27.75		 99389.00		 27.76		 99388.00
27.76		 99388.92		 27.76		 99389.00		 27.76		 99388.00
27.76		 99388.98		 27.76		 99389.00		 27.76		 99389.00
27.76		 99388.30		 27.76		 99388.00		 27.76		 99389.00
27.76		 99389.50		 27.76		 99390.00		 27.76		 99389.00
27.76		 99389.85		 27.75		 99390.00		 27.76		 99389.34
27.76		 99389.25		 27.76		 99389.00		 27.76		 99389.34
27.76		 99389.08		 27.76		 99389.00		 27.76		 99389.34
27.75		 99387.63		 27.75		 99387.00		 27.76		 99388.34
27.75		 99387.19		 27.75		 99387.00		 27.76		 99388.34
27.75		 99387.06		 27.75		 99387.00		 27.76		 99388.34
27.75		 99389.12		 27.75		 99390.00		 27.75		 99388.00
27.75		 99388.34		 27.75		 99388.00		 27.75		 99388.00
27.75		 99388.10		 27.75		 99388.00		 27.75		 99388.00
27.75		 99387.33		 27.75		 99387.00		 27.75		 99387.67
27.75		 99386.40		 27.75		 99386.00		 27.75		 99387.67
27.75		 99386.12		 27.75		 99386.00		 27.75		 99387.67
27.76		 99387.44		 27.76		 99388.00		 27.76		 99386.67
27.76		 99387.83		 27.76		 99388.00		 27.76		 99386.67
27.76		 99389.35		 27.76		 99390.00		 27.76		 99386.67
27.75		 99387.01		 27.75		 99386.00		 27.76		 99388.00
27.75		 99386.31		 27.75		 99386.00		 27.76		 99388.00
27.75		 99388.19		 27.75		 99389.00		 27.76		 99388.00
27.75		 99388.06		 27.75		 99388.00		 27.75		 99387.67
